OFNS_DESC,Bronx,Brooklyn,Manhattan,Queens,Staten Island
ADMINISTRATIVE CODE,19.0,66.0,12.0,30.0,
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,8.0,9.0,7.0,3.0,1.0
ALCOHOLIC BEVERAGE CONTROL LAW,89.0,98.0,17.0,49.0,2.0
ANTICIPATORY OFFENSES,37.0,20.0,3.0,,
ARSON,18.0,30.0,20.0,23.0,6.0
ASSAULT 3 & RELATED OFFENSES,7109.0,5812.0,4396.0,5526.0,888.0
BURGLAR'S TOOLS,86.0,163.0,203.0,89.0,2.0
BURGLARY,837.0,1645.0,2618.0,839.0,117.0
CHILD ABANDONMENT/NON SUPPORT,7.0,4.0,7.0,6.0,
CRIMINAL MISCHIEF & RELATED OF,1815.0,2007.0,1792.0,1780.0,437.0
CRIMINAL TRESPASS,184.0,435.0,632.0,255.0,46.0
DANGEROUS DRUGS,3277.0,2773.0,2968.0,1765.0,506.0
DANGEROUS WEAPONS,1642.0,2595.0,1048.0,1202.0,223.0
DISORDERLY CONDUCT,5.0,10.0,16.0,9.0,
ENDAN WELFARE INCOMP,6.0,6.0,2.0,9.0,2.0
ESCAPE 3,1.0,,2.0,1.0,
FELONY ASSAULT,3576.0,3972.0,2372.0,3058.0,497.0
FOR OTHER AUTHORITIES,342.0,225.0,646.0,154.0,22.0
FORGERY,326.0,742.0,334.0,384.0,66.0
FRAUDS,85.0,73.0,104.0,103.0,22.0
FRAUDULENT ACCOSTING,8.0,,16.0,7.0,
GAMBLING,101.0,109.0,52.0,25.0,
GRAND LARCENY,943.0,1482.0,2597.0,1288.0,232.0
GRAND LARCENY OF MOTOR VEHICLE,238.0,421.0,137.0,384.0,47.0
HARRASSMENT 2,7.0,17.0,7.0,7.0,
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",13.0,1.0,2.0,3.0,
HOMICIDE-NEGLIGENT-VEHICLE,,,2.0,3.0,2.0
INTOXICATED & IMPAIRED DRIVING,377.0,605.0,339.0,750.0,228.0
INTOXICATED/IMPAIRED DRIVING,63.0,98.0,23.0,119.0,43.0
JOSTLING,4.0,1.0,6.0,,
KIDNAPPING & RELATED OFFENSES,8.0,19.0,8.0,10.0,3.0
"LOITERING/GAMBLING (CARDS, DIC",,,12.0,,
MISCELLANEOUS PENAL LAW,1127.0,3234.0,1156.0,2844.0,772.0
MOVING INFRACTIONS,5.0,5.0,9.0,12.0,
MURDER & NON-NEGL. MANSLAUGHTE,398.0,288.0,233.0,217.0,54.0
NEW YORK CITY HEALTH CODE,,,1.0,,
NYS LAWS-UNCLASSIFIED FELONY,122.0,167.0,173.0,81.0,53.0
OFF. AGNST PUB ORD SENSBLTY &,833.0,808.0,698.0,558.0,164.0
OFFENSES AGAINST PUBLIC ADMINI,1603.0,864.0,1428.0,820.0,210.0
OFFENSES AGAINST PUBLIC SAFETY,34.0,14.0,19.0,14.0,3.0
OFFENSES AGAINST THE PERSON,201.0,178.0,160.0,126.0,43.0
OFFENSES INVOLVING FRAUD,407.0,313.0,277.0,157.0,72.0
OFFENSES RELATED TO CHILDREN,6.0,8.0,2.0,14.0,
OTHER OFFENSES RELATED TO THEF,144.0,320.0,233.0,96.0,20.0
OTHER STATE LAWS,19.0,151.0,54.0,40.0,1.0
OTHER STATE LAWS (NON PENAL LA,58.0,113.0,33.0,306.0,26.0
OTHER STATE LAWS (NON PENAL LAW),4.0,,,1.0,
OTHER TRAFFIC INFRACTION,100.0,343.0,226.0,366.0,61.0
PETIT LARCENY,1825.0,2881.0,3960.0,2187.0,553.0
POSSESSION OF STOLEN PROPERTY,367.0,469.0,494.0,430.0,76.0
PROSTITUTION & RELATED OFFENSES,248.0,66.0,52.0,100.0,6.0
RAPE,174.0,157.0,79.0,136.0,22.0
ROBBERY,2068.0,2292.0,1894.0,1469.0,225.0
SEX CRIMES,585.0,724.0,504.0,824.0,93.0
THEFT OF SERVICES,23.0,18.0,57.0,27.0,
THEFT-FRAUD,17.0,24.0,32.0,55.0,10.0
UNAUTHORIZED USE OF A VEHICLE,88.0,157.0,83.0,161.0,33.0
VEHICLE AND TRAFFIC LAWS,1027.0,1215.0,992.0,1050.0,305.0
